,filename,bcs,id
0,120_20201222_541.npy,375,120_20201222
1,120_20210112_897.npy,375,120_20210112
2,120_20210119_627.npy,350,120_20210119
3,120_20210126_847.npy,350,120_20210126
4,120_20210202_687.npy,350,120_20210202
5,120_20210209_568.npy,350,120_20210209
6,120_20210216_671.npy,350,120_20210216
7,120_20210223_589.npy,350,120_20210223
8,120_20210302_976.npy,350,120_20210302
9,122_20210126_717.npy,325,122_20210126
10,122_20210202_675.npy,325,122_20210202
11,122_20210209_932.npy,325,122_20210209
12,122_20210219_1378.npy,300,122_20210219
13,122_20210226_666.npy,300,122_20210226
14,122_20210305_789.npy,275,122_20210305
15,122_20210312_637.npy,275,122_20210312
16,122_20210319_607.npy,275,122_20210319
17,122_20210326_918.npy,275,122_20210326
18,122_20210402_841.npy,275,122_20210402
19,122_20210409_653.npy,275,122_20210409
20,131_20201222_1383.npy,375,131_20201222
21,131_20201229_568.npy,350,131_20201229
22,131_20210105_686.npy,350,131_20210105
23,131_20210119_661.npy,375,131_20210119
24,131_20210126_927.npy,350,131_20210126
25,131_20210202_671.npy,350,131_20210202
26,131_20210209_607.npy,350,131_20210209
27,131_20210216_787.npy,350,131_20210216
28,131_20210223_1046.npy,350,131_20210223
29,131_20210302_778.npy,350,131_20210302
30,131_20210309_683.npy,325,131_20210309
31,154_20210105_835.npy,350,154_20210105
32,154_20210112_1001.npy,350,154_20210112
33,154_20210119_705.npy,375,154_20210119
34,154_20210202_758.npy,375,154_20210202
35,154_20210209_481.npy,350,154_20210209
36,154_20210216_669.npy,375,154_20210216
37,154_20210223_864.npy,375,154_20210223
38,154_20210302_872.npy,375,154_20210302
39,154_20210309_658.npy,375,154_20210309
40,154_20210316_692.npy,375,154_20210316
41,154_20210323_709.npy,400,154_20210323
42,158_20210209_712.npy,400,158_20210209
43,158_20210216_584.npy,400,158_20210216
44,158_20210223_740.npy,425,158_20210223
45,158_20210305_584.npy,400,158_20210305
46,158_20210312_430.npy,375,158_20210312
47,158_20210319_728.npy,350,158_20210319
48,158_20210326_723.npy,350,158_20210326
49,158_20210402_789.npy,350,158_20210402
50,158_20210409_662.npy,350,158_20210409
51,158_20210416_743.npy,350,158_20210416
52,158_20210423_611.npy,300,158_20210423
